transaction_id,ngo_id,amount,days_since_donation,ngo_avg_verification_time,ngo_pending_ratio,is_round_number,hour_of_day,is_anomalous,reason
T00107,NGO001,17922.76,8.51,42.99,0.2,False,13,0,
T00108,NGO001,69840.15,6.33,47.84,0.28,False,13,0,
T00109,NGO001,18725.36,2.58,41.63,0.33,False,13,0,
T00110,NGO001,17241.12,3.03,45.28,0.27,False,16,0,
T00111,NGO001,11808.23,5.6,48.87,0.25,False,15,0,
T00112,NGO001,4553.24,2.13,41.77,0.26,False,18,0,
T00113,NGO001,8786.92,5.55,45.64,0.23,False,15,0,
T00114,NGO001,14965.94,11.55,49.04,0.26,False,9,0,
T00115,NGO001,16323.88,6.47,43.63,0.27,False,10,0,
T00116,NGO001,23643.75,4.28,44.02,0.27,False,11,0,
T00117,NGO001,35021.6,1.98,39.42,0.23,False,9,0,
T00118,NGO001,18252.11,1.78,43.33,0.24,False,18,0,
T00119,NGO001,21309.83,3.68,45.39,0.78,False,10,1,NGO has unusually high pending/unverified disbursement ratio (78%)
T00120,NGO001,10931.75,8.44,40.02,0.27,False,15,0,
T00121,NGO001,32447.96,7.26,44.83,0.24,False,11,0,
T00122,NGO001,14165.76,8.07,47.06,0.31,False,15,0,
T00123,NGO001,7156.22,9.42,44.28,0.3,False,16,0,
T00124,NGO001,11287.81,4.9,47.08,0.27,False,10,0,
T00125,NGO001,7833.32,5.64,52.49,0.19,False,15,0,
T00126,NGO001,29185.25,7.85,42.06,0.24,False,12,0,
T00127,NGO001,29931.42,9.45,46.02,0.31,False,12,0,
T00128,NGO001,34459.39,5.79,37.92,0.25,False,13,0,
T00129,NGO001,9953.31,3.27,42.94,0.29,False,12,0,
T00130,NGO001,57749.93,5.03,49.09,0.26,False,17,0,
T00131,NGO001,17693.71,5.33,48.13,0.27,False,15,0,
T00132,NGO001,37254.74,7.56,45.3,0.27,False,9,0,
T00133,NGO001,8286.83,6.44,46.37,0.28,False,11,0,
T00134,NGO001,57766.13,2.86,40.32,0.29,False,17,0,
T00135,NGO001,28061.32,4.22,46.31,0.33,False,15,0,
T00136,NGO001,33103.08,8.51,49.76,0.31,False,16,0,
T00137,NGO001,13757.09,6.35,41.91,0.35,False,10,0,
T00138,NGO001,13375.72,5.42,45.2,0.31,False,11,0,
T00139,NGO001,15728.32,4.01,52.23,0.28,False,9,0,
T00140,NGO001,35515.42,9.06,45.51,0.19,False,16,0,
T00141,NGO001,33983.24,6.95,51.79,0.28,False,13,0,
T00142,NGO001,41875.9,5.35,48.65,0.28,False,12,0,
T00143,NGO001,12826.7,2.44,236.97,0.25,False,10,1,Unusually slow bill verification for this NGO (237h)
T00144,NGO001,7067.88,3.38,48.04,0.26,False,10,0,
T00145,NGO001,9393.02,3.7,45.55,0.28,False,17,0,
T00146,NGO001,9422.97,5.5,43.18,0.34,False,11,0,
T00147,NGO001,17881.98,7.48,46.53,0.34,False,11,0,
T00148,NGO001,12184.89,7.67,43.79,0.25,False,12,0,
T00149,NGO001,35641.91,4.29,43.16,0.28,False,11,0,
T00150,NGO001,23112.12,13.07,48.47,0.24,False,13,0,
T00151,NGO001,11648.89,4.84,46.52,0.28,False,14,0,
T00152,NGO001,49296.7,0.75,41.89,0.3,False,10,0,
T00153,NGO001,12274.92,6.67,45.61,0.31,False,20,0,
T00154,NGO001,12185.75,9.97,42.26,0.22,False,14,0,
T00155,NGO001,22580.91,9.33,48.12,0.28,False,16,0,
T00156,NGO001,31042.5,4.05,47.1,0.26,False,10,0,
T00157,NGO001,19985.66,4.82,45.75,0.31,False,13,0,
T00158,NGO001,16739.73,8.26,41.61,0.31,False,13,0,
T00159,NGO001,18716.5,10.73,45.37,0.28,False,14,0,
T00160,NGO001,18081.33,6.53,46.88,0.26,False,11,0,
T00161,NGO001,17555.69,3.9,49.24,0.22,False,11,0,
T00162,NGO001,20079.74,5.61,39.55,0.29,False,16,0,
T00163,NGO001,7358.36,0.6,46.98,0.25,False,9,0,
T00164,NGO001,24091.06,9.37,49.59,0.26,False,9,0,
T00165,NGO001,45055.5,2.79,41.08,0.25,False,12,0,
T00166,NGO001,18654.39,3.87,43.65,0.27,False,12,0,
T00167,NGO001,15596.73,9.35,46.69,0.28,False,14,0,
T00168,NGO001,20873.58,3.17,46.63,0.31,False,14,0,
T00169,NGO001,11248.43,11.4,45.54,0.23,False,13,0,
T00170,NGO001,11219.65,4.1,48.65,0.26,False,12,0,
T00171,NGO001,12723.83,1.27,40.91,0.29,False,15,0,
T00172,NGO001,20619.69,5.93,43.95,0.26,False,11,0,
T00173,NGO001,16285.31,2.52,50.17,0.3,False,12,0,
T00174,NGO001,16560.69,3.37,45.77,0.26,False,12,0,
T00175,NGO001,9406.06,5.16,51.05,0.29,False,11,0,
T00176,NGO001,22357.58,6.83,43.26,0.32,False,14,0,
T00177,NGO001,26698.33,7.91,48.81,0.25,False,16,0,
T00178,NGO001,18190.96,7.2,52.21,0.26,False,13,0,
T00179,NGO001,11404.01,4.55,44.7,0.28,False,14,0,
T00180,NGO001,11902.04,14.9,45.37,0.24,False,15,0,
T00181,NGO001,16662.27,6.36,47.5,0.24,False,12,0,
T00182,NGO001,6517.71,8.8,48.28,0.21,False,10,0,
T00183,NGO001,18461.61,9.14,50.71,0.26,False,16,0,
T00184,NGO001,15975.64,1.1,43.94,0.29,False,13,0,
T00185,NGO001,36757.49,10.14,43.78,0.28,False,14,0,
T00186,NGO001,18833.09,6.97,44.78,0.22,False,12,0,
T00187,NGO001,24945.14,2.55,49.11,0.22,False,11,0,
T00188,NGO001,8814.75,8.42,41.92,0.3,False,10,0,
T00189,NGO001,15901.9,7.43,45.89,0.23,False,15,0,
T00190,NGO001,12437.03,7.95,41.48,0.24,False,14,0,
T00191,NGO001,13671.94,12.23,46.8,0.28,False,16,0,
T00192,NGO001,18607.76,5.02,44.01,0.27,False,10,0,
T00193,NGO001,24414.98,5.76,45.89,0.21,False,15,0,
T00194,NGO001,19743.28,0.3,54.47,0.24,False,14,0,
T00195,NGO001,30016.44,2.88,47.5,0.24,False,23,1,Disbursement created at unusual hour (23:00)
T00196,NGO001,46756.91,5.69,45.58,0.29,False,11,0,
T00197,NGO001,13080.54,6.84,47.51,0.27,False,14,0,
T00198,NGO001,28132.88,3.03,44.34,0.22,False,15,0,
T00199,NGO001,14128.06,4.48,46.57,0.25,False,15,0,
T00200,NGO001,15117.76,8.37,44.48,0.23,False,10,0,
T00201,NGO001,30034.23,1.61,49.17,0.33,False,15,0,
T00202,NGO001,4982.37,0.45,50.96,0.27,False,12,0,
T00203,NGO001,32795.53,8.09,55.08,0.27,False,8,0,
T00204,NGO001,17926.48,9.07,39.1,0.3,False,15,0,
T00205,NGO001,14061.14,9.79,46.05,0.28,False,9,0,
T00206,NGO001,12517.39,4.6,44.38,0.28,False,20,0,
T00207,NGO001,16844.64,8.31,43.17,0.27,False,10,0,
T00208,NGO001,38456.15,6.27,49.6,0.25,False,14,0,
T00209,NGO001,11947.32,7.58,45.23,0.29,False,14,0,
T00210,NGO001,4664.32,13.64,46.9,0.29,False,16,0,
T00211,NGO001,24510.64,5.24,46.61,0.31,False,10,0,
T00212,NGO001,9117.36,7.31,48.34,0.29,False,15,0,
T00213,NGO001,8706.55,5.25,47.17,0.26,False,20,0,
T00214,NGO001,5763.49,2.81,43.44,0.29,False,9,0,
T00215,NGO001,12077.48,6.49,44.35,0.25,False,18,0,
T00216,NGO001,27108.77,11.13,44.42,0.28,False,16,0,
T00217,NGO001,17908.28,6.75,48.09,0.23,False,8,0,
T00218,NGO001,38930.17,9.49,41.0,0.31,False,12,0,
T00219,NGO001,18176.63,4.19,47.55,0.22,False,9,0,
T00220,NGO001,24419.48,1.5,41.67,0.27,False,13,0,
T00221,NGO001,10365.8,6.48,45.99,0.28,False,10,0,
T00222,NGO001,21753.45,9.75,44.76,0.27,False,14,0,
T00223,NGO001,10782.57,8.37,43.71,0.28,False,15,0,
T00224,NGO001,11187.19,6.47,53.06,0.26,False,11,0,
T00225,NGO001,7009.01,2.43,45.84,0.22,False,11,0,
T00226,NGO001,25521.0,7.1,49.87,0.21,False,16,0,
T00227,NGO001,26570.23,0.88,50.09,0.3,False,18,0,
T00228,NGO001,18828.86,7.73,44.09,0.26,False,11,0,
T00229,NGO001,24142.99,6.36,43.49,0.35,False,15,0,
T00230,NGO001,6776.79,6.86,45.31,0.28,False,15,0,
T00231,NGO001,27527.42,4.17,45.33,0.27,False,11,0,
T00232,NGO002,19262.82,6.15,44.29,0.27,False,8,0,
T00233,NGO002,11974.92,4.2,49.9,0.31,False,8,0,
T00234,NGO002,26506.83,3.87,47.54,0.33,False,10,0,
T00235,NGO002,8095.77,7.88,42.78,0.29,False,14,0,
T00236,NGO002,9271.06,8.63,47.0,0.36,False,9,0,
T00237,NGO002,5601.6,14.1,43.76,0.28,False,12,0,
T00238,NGO002,9176.83,11.25,47.36,0.33,False,9,0,
T00239,NGO002,20515.38,9.23,44.61,0.3,False,15,0,
T00240,NGO002,7947.19,3.94,43.61,0.33,False,9,0,
T00241,NGO002,28468.31,6.96,46.47,0.31,False,14,0,
T00242,NGO002,17883.95,5.41,43.84,0.31,False,13,0,
T00243,NGO002,16153.76,9.94,42.14,0.25,False,14,0,
T00244,NGO002,14167.06,5.91,45.76,0.34,False,16,0,
T00245,NGO002,4278.48,6.56,45.69,0.31,False,11,0,
T00246,NGO002,31476.37,9.77,45.55,0.31,False,10,0,
T00247,NGO002,27492.8,6.1,42.93,0.33,False,12,0,
T00248,NGO002,15297.27,8.89,44.82,0.29,False,11,0,
T00249,NGO002,15990.87,2.95,45.1,0.34,False,9,0,
T00250,NGO002,19937.35,6.69,243.03,0.31,False,10,1,Unusually slow bill verification for this NGO (243h)
T00251,NGO002,14447.99,5.17,45.9,0.34,False,15,0,
T00252,NGO002,11840.81,8.51,42.54,0.35,False,12,0,
T00253,NGO002,23495.98,9.52,45.52,0.27,False,14,0,
T00254,NGO002,11404.39,6.09,40.51,0.33,False,15,0,
T00255,NGO002,18627.87,13.81,46.68,0.26,False,15,0,
T00256,NGO002,20123.37,4.13,46.42,0.31,False,12,0,
T00257,NGO002,14545.5,3.45,43.24,0.33,False,18,0,
T00258,NGO002,20273.49,4.46,41.65,0.32,False,17,0,
T00259,NGO002,10596.78,7.94,365.46,0.33,False,10,1,Unusually slow bill verification for this NGO (365h)
T00260,NGO002,12828.16,3.55,38.7,0.33,False,14,0,
T00261,NGO002,7479.33,0.72,40.4,0.35,False,11,0,
T00262,NGO002,66636.62,6.38,42.92,0.37,False,18,0,
T00263,NGO002,28659.33,7.78,47.32,0.3,False,10,0,
T00264,NGO002,16287.35,9.35,43.03,0.34,False,15,0,
T00265,NGO002,8708.64,5.42,42.83,0.26,False,12,0,
T00266,NGO002,15260.74,6.57,46.71,0.37,False,9,0,
T00267,NGO002,14406.49,3.12,43.86,0.35,False,18,0,
T00268,NGO002,38131.04,1.77,41.46,0.3,False,15,0,
T00269,NGO002,19491.67,5.56,43.58,0.26,False,14,0,
T00270,NGO002,12173.47,2.67,44.83,0.32,False,11,0,
T00271,NGO002,40688.17,4.63,43.17,0.33,False,10,0,
T00272,NGO002,19263.85,7.06,45.35,0.28,False,10,0,
T00273,NGO002,14406.53,7.1,47.72,0.29,False,17,0,
T00274,NGO002,14057.09,4.42,44.94,0.32,False,9,0,
T00275,NGO002,24471.49,5.16,45.18,0.33,False,8,0,
T00276,NGO002,12197.92,2.67,46.68,0.27,False,20,0,
T00277,NGO002,6712.17,9.49,42.78,0.29,False,13,0,
T00278,NGO002,30691.79,5.11,45.44,0.32,False,18,0,
T00279,NGO002,9048.22,2.76,46.29,0.34,False,5,0,
T00280,NGO002,9364.19,3.87,45.2,0.35,False,13,0,
T00281,NGO002,11438.27,3.6,43.53,0.28,False,13,0,
T00282,NGO002,39877.72,4.92,46.52,0.32,False,12,0,
T00283,NGO002,26521.48,5.77,44.44,0.41,False,13,0,
T00284,NGO002,10791.51,9.93,43.28,0.26,False,13,0,
T00285,NGO002,45721.04,9.24,43.64,0.35,False,13,0,
T00286,NGO002,26082.65,8.95,46.95,0.34,False,11,0,
T00287,NGO002,13573.49,4.79,42.12,0.33,False,19,0,
T00288,NGO002,9071.17,6.57,45.71,0.33,False,13,0,
T00289,NGO002,9096.85,7.28,44.42,0.34,False,16,0,
T00290,NGO002,67796.1,3.58,46.77,0.32,False,13,0,
T00291,NGO002,9380.62,9.42,48.93,0.31,False,6,0,
T00292,NGO002,11680.76,4.5,47.96,0.33,False,10,0,
T00293,NGO002,14308.19,4.9,43.81,0.29,False,17,0,
T00294,NGO002,13666.79,1.44,48.71,0.31,False,16,0,
T00295,NGO002,9926.51,6.97,41.44,0.35,False,11,0,
T00296,NGO002,18226.61,4.79,46.55,0.3,False,15,0,
T00297,NGO002,17492.17,11.82,41.98,0.29,False,14,0,
T00298,NGO002,18011.58,8.17,46.98,0.28,False,15,0,
T00299,NGO002,23621.57,11.7,44.58,0.28,False,16,0,
T00300,NGO002,15272.21,6.76,44.79,0.31,False,10,0,
T00301,NGO002,19586.37,0.21,47.11,0.3,False,14,1,Disbursed within hours of donation arriving
T00302,NGO002,14146.88,6.12,45.44,0.37,False,15,0,
T00303,NGO002,10645.95,12.27,43.84,0.3,False,12,0,
T00304,NGO002,14468.93,0.9,46.57,0.34,False,10,0,
T00305,NGO002,13407.82,8.38,46.66,0.38,False,11,0,
T00306,NGO002,25267.88,8.56,42.93,0.37,False,15,0,
T00307,NGO002,15759.95,1.44,45.53,0.36,False,9,0,
T00308,NGO002,15360.19,4.95,43.92,0.31,False,14,0,
T00309,NGO002,35272.58,9.33,43.89,0.3,False,10,0,
T00310,NGO002,9779.22,8.72,44.33,0.34,False,13,0,
T00311,NGO002,4121.65,1.4,51.87,0.3,False,5,0,
T00312,NGO002,7350.57,8.89,52.07,0.32,False,13,0,
T00313,NGO002,4396.67,1.68,43.5,0.27,False,11,0,
T00314,NGO002,26096.13,9.11,45.24,0.3,False,13,0,
T00315,NGO002,15752.61,4.23,49.42,0.29,False,14,0,
T00316,NGO002,24906.74,2.41,48.07,0.33,False,14,0,
T00317,NGO002,25486.06,7.61,47.44,0.28,False,2,1,Disbursement created at unusual hour (2:00)
T00318,NGO002,29645.82,8.76,45.32,0.26,False,10,0,
T00319,NGO002,43483.77,2.8,47.41,0.32,False,13,0,
T00320,NGO002,66221.36,7.35,41.76,0.32,False,18,0,
T00321,NGO002,19425.04,11.7,42.47,0.31,False,15,0,
T00322,NGO002,14651.19,5.48,40.53,0.34,False,11,0,
T00323,NGO002,17061.58,3.59,45.77,0.34,False,11,0,
T00324,NGO002,7857.84,10.49,46.35,0.31,False,11,0,
T00325,NGO002,8129.12,6.13,43.77,0.32,False,13,0,
T00326,NGO002,5096.17,7.31,48.96,0.35,False,13,0,
T00327,NGO002,9740.06,6.43,41.64,0.32,False,12,0,
T00328,NGO002,14965.25,0.7,40.63,0.29,False,11,0,
T00329,NGO002,16736.76,5.85,40.77,0.27,False,5,0,
T00330,NGO002,8338.44,3.41,45.27,0.28,False,13,0,
T00331,NGO002,16154.16,7.19,41.18,0.71,False,14,1,NGO has unusually high pending/unverified disbursement ratio (71%)
T00332,NGO002,12457.47,2.22,42.39,0.31,False,14,0,
T00333,NGO002,9045.22,6.72,51.2,0.29,False,5,0,
T00334,NGO002,13942.51,6.88,47.68,0.37,False,16,0,
T00335,NGO002,12633.15,5.68,52.91,0.27,False,13,0,
T00336,NGO002,21104.28,4.91,45.82,0.29,False,15,0,
T00337,NGO002,20078.51,5.91,48.36,0.31,False,7,0,
T00338,NGO002,32664.91,7.92,42.81,0.32,False,5,0,
T00339,NGO002,29168.11,6.67,44.82,0.32,False,14,0,
T00340,NGO002,23268.8,9.5,44.37,0.31,False,16,0,
T00341,NGO002,23405.95,6.58,44.93,0.3,False,16,0,
T00342,NGO002,27477.96,4.77,42.74,0.35,False,11,0,
T00343,NGO002,27562.7,7.54,47.16,0.33,False,11,0,
T00344,NGO002,20693.14,8.09,48.53,0.33,False,14,0,
T00345,NGO002,16081.31,3.35,44.49,0.29,False,10,0,
T00346,NGO002,15070.81,6.32,44.58,0.31,False,14,0,
T00347,NGO002,16328.43,3.55,46.96,0.34,False,8,0,
T00348,NGO002,10726.81,8.62,43.09,0.31,False,15,0,
T00349,NGO002,14108.28,0.01,46.89,0.28,False,13,0,
T00350,NGO002,19006.9,3.44,45.99,0.31,False,16,0,
T00351,NGO002,43926.86,9.72,45.61,0.3,False,15,0,
T00352,NGO002,9552.42,6.71,49.09,0.28,False,13,0,
T00353,NGO002,16089.69,0.69,42.9,0.3,False,11,0,
T00354,NGO002,17743.87,4.12,45.03,0.34,False,9,0,
T00355,NGO002,25688.64,3.4,43.01,0.3,False,8,0,
T00356,NGO002,10398.41,9.08,42.99,0.31,False,15,0,
T00357,NGO002,20226.64,5.69,45.78,0.3,False,5,0,
T00358,NGO002,15155.92,7.57,42.53,0.32,False,13,0,
T00359,NGO002,17133.0,6.59,43.13,0.3,False,14,0,
T00360,NGO002,31638.7,7.22,44.61,0.23,False,13,0,
T00361,NGO002,12054.64,2.34,43.46,0.31,False,11,0,
T00362,NGO002,36274.02,4.81,46.43,0.3,False,19,0,
T00363,NGO002,23594.39,2.78,40.32,0.34,False,14,0,
T00364,NGO002,9935.52,9.23,40.88,0.36,False,10,0,
T00365,NGO002,13619.53,7.81,43.35,0.31,False,13,0,
T00366,NGO002,9403.12,1.42,41.58,0.31,False,5,0,
T00367,NGO002,61508.98,8.35,44.92,0.3,False,13,0,
T00368,NGO002,22046.64,9.16,42.81,0.32,False,17,0,
T00369,NGO002,23625.31,7.78,43.92,0.3,False,13,0,
T00370,NGO002,38252.38,8.97,40.93,0.33,False,15,0,
T00371,NGO002,6764.9,3.51,44.67,0.26,False,12,0,
T00372,NGO002,40692.89,7.61,45.14,0.31,False,11,0,
T00373,NGO002,13275.06,5.05,48.83,0.33,False,9,0,
T00374,NGO002,18686.89,2.11,49.72,0.28,False,15,0,
T00375,NGO002,14346.9,7.4,47.94,0.31,False,12,0,
T00376,NGO002,17738.04,2.73,44.51,0.31,False,14,0,
T00377,NGO002,49661.41,6.02,44.41,0.3,False,12,0,
T00378,NGO002,34719.84,4.31,44.73,0.31,False,9,0,
T00379,NGO002,12886.24,7.77,40.19,0.33,False,19,0,
T00380,NGO002,7709.85,6.49,45.11,0.33,False,11,0,
T00381,NGO002,20624.56,6.06,43.06,0.33,False,18,0,
T00382,NGO002,14691.18,10.18,48.51,0.32,False,9,0,
T00383,NGO002,13736.59,6.0,41.23,0.33,False,15,0,
T00384,NGO002,12725.34,5.54,42.36,0.31,False,11,0,
T00385,NGO002,13398.7,4.06,47.21,0.31,False,11,0,
T00386,NGO002,33749.38,6.74,45.43,0.32,False,14,0,
T00387,NGO002,11197.59,8.37,39.07,0.34,False,9,0,
T00388,NGO002,24389.8,1.42,45.08,0.32,False,12,0,
T00389,NGO002,17296.2,7.75,50.91,0.27,False,17,0,
T00390,NGO002,17281.57,8.34,44.11,0.36,False,11,0,
T00391,NGO002,7345.58,5.96,41.22,0.32,False,15,0,
T00392,NGO002,12946.5,6.03,47.11,0.35,False,11,0,
T00393,NGO002,32198.66,2.79,47.02,0.35,False,7,0,
T00394,NGO002,19454.01,8.07,37.31,0.29,False,9,0,
T00395,NGO002,23710.07,2.55,46.98,0.33,False,7,0,
T00396,NGO002,11241.18,8.59,46.72,0.3,False,9,0,
T00397,NGO002,11747.19,10.27,50.2,0.34,False,13,0,
T00398,NGO002,10461.47,7.44,43.27,0.33,False,13,0,
T00399,NGO002,23335.88,98.14,48.14,0.28,False,11,1,Donation sat unspent for 98 days before disbursement
T00400,NGO002,18724.91,5.85,46.33,0.3,False,11,0,
T00401,NGO002,14031.47,6.66,44.37,0.31,False,14,0,
T00402,NGO002,8842.99,6.94,43.64,0.29,False,18,0,
T00403,NGO002,14755.99,0.1,37.68,0.32,False,11,0,
T00404,NGO002,19243.3,9.23,46.07,0.32,False,10,0,
T00405,NGO002,19312.84,11.53,37.98,0.35,False,12,0,
T00406,NGO002,5588.18,6.56,45.67,0.34,False,17,0,
T00407,NGO002,16375.86,10.06,44.37,0.3,False,13,0,
T00408,NGO002,17257.87,4.82,43.71,0.31,False,12,0,
T00409,NGO002,23670.16,5.59,48.01,0.31,False,8,0,
T00410,NGO002,22663.28,5.26,43.14,0.3,False,13,0,
T00411,NGO002,17865.18,5.88,47.08,0.34,False,13,0,
T00412,NGO002,13383.71,7.27,44.48,0.32,False,12,0,
T00413,NGO002,20201.13,6.12,40.97,0.32,False,8,0,
